genome_id,source,organism,genus,species,strian,closest_placement_reference,input_file
GCA_030291975.1,ncbi,,,,,,
GCA_030292075.1,ncbi,,,,,,
GCA_030292135.1,ncbi,,,,,,
GCA_030348515.1,ncbi,,,,,,
GCA_031324045.1,ncbi,,,,,,
GCA_030348445.1,ncbi,,,,,,
GCA_030123125.1,ncbi,,,,,,
GCA_030219985.1,ncbi,,,,,,
GCA_030123185.1,ncbi,,,,,,
GCA_030348705.1,ncbi,,,,,,
GCA_030348785.1,ncbi,,,,,,
GCA_030292095.1,ncbi,,,,,,
GCA_030348565.1,ncbi,,,,,,
GCA_031324265.1,ncbi,,,,,,
GCA_030348725.1,ncbi,,,,,,
GCA_030122965.1,ncbi,,,,,,
GCA_030123025.1,ncbi,,,,,,
GCA_030348245.1,ncbi,,,,,,
GCA_030348585.1,ncbi,,,,,,
GCA_030123105.1,ncbi,,,,,,
GCA_031324285.1,ncbi,,,,,,
GCA_030123005.1,ncbi,,,,,,
GCA_030348345.1,ncbi,,,,,,
GCA_030123505.1,ncbi,,,,,,
GCA_030123485.1,ncbi,,,,,,
GCA_031324225.1,ncbi,,,,,,
GCA_030348225.1,ncbi,,,,,,
GCA_030122805.1,ncbi,,,,,,
GCA_030123245.1,ncbi,,,,,,
GCA_030123265.1,ncbi,,,,,,
GCA_030292205.1,ncbi,,,,,,
GCA_030123145.1,ncbi,,,,,,
GCA_030348835.1,ncbi,,,,,,
GCA_030348385.1,ncbi,,,,,,
GCA_030348825.1,ncbi,,,,,,
GCA_030122785.1,ncbi,,,,,,
GCA_031324095.1,ncbi,,,,,,
GCA_030122765.1,ncbi,,,,,,
GCA_030123165.1,ncbi,,,,,,
GCA_030348325.1,ncbi,,,,,,
GCA_030348365.1,ncbi,,,,,,
GCA_030348665.1,ncbi,,,,,,
GCA_030166975.1,ncbi,,,,,,
GCA_031324195.1,ncbi,,,,,,
GCA_030123325.1,ncbi,,,,,,
GCA_030176975.1,ncbi,,,,,,
GCA_030348945.1,ncbi,,,,,,
GCA_030348905.1,ncbi,,,,,,
GCA_030123405.1,ncbi,,,,,,
GCA_031324335.1,ncbi,,,,,,
GCA_030123345.1,ncbi,,,,,,
GCA_030166995.1,ncbi,,,,,,
GCA_030348625.1,ncbi,,,,,,
GCA_030123085.1,ncbi,,,,,,
GCA_031324135.1,ncbi,,,,,,
GCA_030348765.1,ncbi,,,,,,
GCA_030316035.1,ncbi,,,,,,
GCA_030122865.1,ncbi,,,,,,
GCA_030123045.1,ncbi,,,,,,
GCA_030348875.1,ncbi,,,,,,
GCA_030123365.1,ncbi,,,,,,
GCA_030123065.1,ncbi,,,,,,
GCA_030291955.1,ncbi,,,,,,
GCA_031324185.1,ncbi,,,,,,
GCA_030348255.1,ncbi,,,,,,
GCA_030122925.1,ncbi,,,,,,
GCA_031324325.1,ncbi,,,,,,
GCA_030122845.1,ncbi,,,,,,
GCA_030348285.1,ncbi,,,,,,
GCA_030348595.1,ncbi,,,,,,
GCA_030179875.1,ncbi,,,,,,
GCA_030122945.1,ncbi,,,,,,
GCA_031324165.1,ncbi,,,,,,
GCA_030348465.1,ncbi,,,,,,
GCA_030167035.1,ncbi,,,,,,
GCA_031324125.1,ncbi,,,,,,
GCA_030348965.1,ncbi,,,,,,
GCA_030122825.1,ncbi,,,,,,
GCA_030348675.1,ncbi,,,,,,
GCA_030292155.1,ncbi,,,,,,
GCA_030348305.1,ncbi,,,,,,
GCA_030348735.1,ncbi,,,,,,
GCA_030167055.1,ncbi,,,,,,
GCA_030348485.1,ncbi,,,,,,
GCA_030123285.1,ncbi,,,,,,
GCA_030272035.1,ncbi,,,,,,
GCA_030487755.1,ncbi,,,,,,
GCA_030122745.1,ncbi,,,,,,
GCA_030292035.1,ncbi,,,,,,
GCA_030123385.1,ncbi,,,,,,
GCA_030123465.1,ncbi,,,,,,
GCA_030292225.1,ncbi,,,,,,
GCA_030291935.1,ncbi,,,,,,
GCA_031324245.1,ncbi,,,,,,
GCA_030348985.1,ncbi,,,,,,
GCA_030285945.1,ncbi,,,,,,
GCA_030122905.1,ncbi,,,,,,
GCA_031324305.1,ncbi,,,,,,
GCA_030122885.1,ncbi,,,,,,
GCA_030122985.1,ncbi,,,,,,
GCA_030348405.1,ncbi,,,,,,
GCA_030348195.1,ncbi,,,,,,
GCA_030123225.1,ncbi,,,,,,
GCA_030292055.1,ncbi,,,,,,
GCA_030292115.1,ncbi,,,,,,
GCA_030123305.1,ncbi,,,,,,
GCA_030167075.1,ncbi,,,,,,
GCA_030348535.1,ncbi,,,,,,
GCA_030123425.1,ncbi,,,,,,
GCA_030167015.1,ncbi,,,,,,
GCA_030348415.1,ncbi,,,,,,
GCA_031324075.1,ncbi,,,,,,
GCA_030348915.1,ncbi,,,,,,
GCA_030348645.1,ncbi,,,,,,
GCA_030123445.1,ncbi,,,,,,
GCA_030123205.1,ncbi,,,,,,
GCA_030292015.1,ncbi,,,,,,
GCA_030348505.1,ncbi,,,,,,
GCA_030291995.1,ncbi,,,,,,
GCA_030348865.1,ncbi,,,,,,
GCA_030348775.1,ncbi,,,,,,
